external,linkonce,time
18000,17000,3095
18000,18000,3115
18000,19000,3158
18000,20000,3195
18000,21000,3246
18000,22000,3273
18000,23000,3320
18000,24000,3371
18000,25000,3445
18000,26000,3507
18000,27000,3552
18000,28000,3589
18000,29000,3613
18000,30000,3592
18000,31000,3764
18000,32000,3721
18000,33000,3780
18000,34000,3887
18000,35000,3911
18000,36000,3967
18000,37000,3938
18000,38000,3970
18000,39000,4054
18000,40000,4136
18000,41000,4140
18000,42000,4186
18000,43000,4220
18000,44000,4401
18000,45000,4410
18000,46000,4457
18000,47000,4499
18000,48000,4562
18000,49000,4541
18000,50000,4624
19000,1000,2517
19000,2000,2526
19000,3000,2577
19000,4000,2614
19000,5000,2662
19000,6000,2704
19000,7000,2829
19000,8000,2831
19000,9000,2884
19000,10000,2922
19000,11000,2948
19000,12000,2994
19000,13000,3053
19000,14000,3101
19000,15000,3113
19000,16000,3190
19000,17000,3211
19000,18000,3253
19000,19000,3268
19000,20000,3314
19000,21000,3382
19000,22000,3401
19000,23000,3455
19000,24000,3493
19000,25000,3575
19000,26000,3670
19000,27000,3660
19000,28000,3696
19000,29000,3736
19000,30000,3793
19000,31000,3842
19000,32000,3858
19000,33000,3971
19000,34000,4025
19000,35000,4061
19000,36000,4057
19000,37000,4062
19000,38000,4287
19000,39000,4349
19000,40000,4414
19000,41000,4489
19000,42000,4564
19000,43000,4549
19000,44000,4583
19000,45000,4634
19000,46000,4648
19000,47000,4723
19000,48000,4691
19000,49000,4539
19000,50000,4638
20000,1000,2587
20000,2000,2645
20000,3000,2670
20000,4000,2703
20000,5000,2831
20000,6000,2928
20000,7000,2995
20000,8000,3034
20000,9000,3123
20000,10000,3122
20000,11000,3148
20000,12000,3202
20000,13000,3277
20000,14000,3349
20000,15000,3271
20000,16000,3305
20000,17000,3351
20000,18000,3380
20000,19000,3429
20000,20000,3469
20000,21000,3480
20000,22000,3554
20000,23000,3580
20000,24000,3607
20000,25000,3690
20000,26000,3761
20000,27000,3802
20000,28000,3848
20000,29000,3828
20000,30000,3853
20000,31000,3972
20000,32000,4078
20000,33000,4083
20000,34000,4179
20000,35000,4179
20000,36000,4247
20000,37000,4276
20000,38000,4320
20000,39000,4340
20000,40000,4383
20000,41000,4418
20000,42000,4422
20000,43000,4421
20000,44000,4493
20000,45000,4491
20000,46000,4637
20000,47000,4718
20000,48000,4690
20000,49000,4715
20000,50000,4850
21000,1000,2829
21000,2000,2842
21000,3000,2913
21000,4000,2952
21000,5000,3017
21000,6000,3047
21000,7000,3193
21000,8000,3167
21000,9000,3197
21000,10000,3222
21000,11000,3228
21000,12000,3250
21000,13000,3304
21000,14000,3376
21000,15000,3390
21000,16000,3415
21000,17000,3542
21000,18000,3510
21000,19000,3601
21000,20000,3600
21000,21000,3612
21000,22000,3664
21000,23000,3750
21000,24000,3789
21000,25000,3924
21000,26000,3948
21000,27000,3978
21000,28000,4044
21000,29000,4004
21000,30000,4058
21000,31000,4136
21000,32000,4171
21000,33000,4273
